emissor,asset_class,grupo,tier,status,cobertura_oficial_cvm,tipo_match,confianca_match,companhia_casada,cnpj_casado,codigo_cvm_casado,identificador_usado,n_candidatos,candidatos,protocolos_no_ano,ultima_entrega,categorias,motivo_decisao
WEG,listada,listed_companies,2,revisar,revisar,revisar,baixa,WEG SA,84429695000111,5410,,1,WEG SA,69,2026-07-24,Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros; Política de Divulgação de Ato ou Fato Relevante,"Casou apenas por termo curto (WEG, WEG) dentro de 'WEG SA' — risco de homônimo; confirmar por CNPJ/código CVM."
Banco Mercantil do Brasil,listada,listed_companies,3,esperado_filiante_sem_protocolo_no_ano,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Cyrela Brazil Realty,listada,listed_companies,3,filiante_cvm,sim,codigo_cvm,alta,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73178600000118,14460,cod_cvm:14460,0,,53,2026-07-13,Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Código de Conduta; Dados Econômico-Financeiros,Código CVM 14460 (cadastro_cvm(auto)) casado no IPE.
Dasa,listada,listed_companies,3,filiante_cvm,sim,codigo_cvm,alta,DIAGNOSTICOS DA AMERICA SA,61486650000183,19623,cod_cvm:19623,0,,74,2026-07-23,Assembleia; Aviso aos Acionistas; Aviso aos Debenturistas; Comunicado ao Mercado; Dados Econômico-Financeiros; Documentos de Oferta de Distribuição Pública,Código CVM 19623 (cadastro_cvm(auto)) casado no IPE.
Direcional Engenharia,listada,listed_companies,3,filiante_cvm,sim,codigo_cvm,alta,DIRECIONAL ENGENHARIA SA,16614075000100,21350,cod_cvm:21350,0,,40,2026-07-08,Assembleia; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros; Escrituras e aditamentos de debêntures; Reunião da Administração,Código CVM 21350 (cadastro_cvm(auto)) casado no IPE.
Dommo Energia,listada,listed_companies,3,esperado_filiante_sem_protocolo_no_ano,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Energisa,listada,listed_companies,3,revisar,revisar,revisar,baixa,,,,,8,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.; ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A; ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S/A; ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A; ENERGISA SA; ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,0,,,8 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Multiplan,listada,listed_companies,3,filiante_cvm,sim,codigo_cvm,alta,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,07816890000153,20982,cod_cvm:20982,0,,96,2026-07-17,Assembleia; Aviso aos Acionistas; Aviso aos Debenturistas; Comunicado ao Mercado; Dados Econômico-Financeiros; Escrituras e aditamentos de debêntures,Código CVM 20982 (cadastro_cvm(auto)) casado no IPE.
Nubank (Nu Holdings),listada,listed_companies,3,esperado_filiante_sem_protocolo_no_ano,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Odontoprev,listada,listed_companies,3,esperado_filiante_sem_protocolo_no_ano,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Orizon Valorização de Resíduos,listada,listed_companies,3,filiante_cvm,sim,codigo_cvm,alta,ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,11421994000136,25550,cod_cvm:25550,0,,84,2026-07-24,Acordo de Acionistas; Assembleia; Aviso aos Acionistas; Comunicado ao Mercado; Dados Econômico-Financeiros; Documentos de Oferta de Distribuição Pública,Código CVM 25550 (cadastro_cvm(auto)) casado no IPE.
StoneCo,listada,listed_companies,3,esperado_filiante_sem_protocolo_no_ano,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Tupy,listada,listed_companies,3,revisar,revisar,revisar,baixa,,,,,2,TUPY METALMECANICA SA; TUPY SA,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Usiminas,listada,listed_companies,3,filiante_cvm,sim,codigo_cvm,alta,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60894730000105,14320,cod_cvm:14320,0,,47,2026-07-23,Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros; Estatuto Social,Código CVM 14320 (cadastro_cvm(auto)) casado no IPE.
Vamos,listada,listed_companies,3,filiante_cvm,sim,codigo_cvm,alta,"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.",23373000000132,24716,cod_cvm:24716,0,,92,2026-07-16,Acordo de Acionistas; Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros,Código CVM 24716 (cadastro_cvm(auto)) casado no IPE.
AGV,nao_listada,nao_listada,2,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Aegea Saneamento,nao_listada,nao_listada,2,filiante_cvm,sim,codigo_cvm,alta,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,08827501000158,23396,cod_cvm:23396,0,,78,2026-07-07,Acordo de Acionistas; Assembleia; Comunicado ao Mercado; Contratos de Indenidade; Dados Econômico-Financeiros; Documentos de Oferta de Distribuição Pública,Código CVM 23396 (cadastro_cvm(auto)) casado no IPE.
Austral Participações,nao_listada,nao_listada,2,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Oceana Offshore,nao_listada,nao_listada,2,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Outback Brasil,nao_listada,nao_listada,2,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Tok&Stok,nao_listada,nao_listada,2,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
