company,coverage_status,source,configured,attempted,technical_success,items_found,validated,note
Agroindustrias San Jacinto S.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_RSS,False,False,False,0,False,
Agroindustrias San Jacinto S.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_NEWS,False,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Agroindustrias San Jacinto S.A.,NO_VALIDATED_OFFICIAL_SOURCE,EDGAR,False,False,False,0,False,
Agroindustrias San Jacinto S.A.,NO_VALIDATED_OFFICIAL_SOURCE,REGULADOR_LOCAL,False,False,False,0,False,
Empresa Agrícola Sintuco S.A.,NO_VALIDATED_OFFICIAL_SOURCE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Empresa Agrícola Sintuco S.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_RSS,False,False,False,0,False,
Empresa Agrícola Sintuco S.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_NEWS,False,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Empresa Agrícola Sintuco S.A.,NO_VALIDATED_OFFICIAL_SOURCE,EDGAR,False,False,False,0,False,
Empresa Agrícola Sintuco S.A.,NO_VALIDATED_OFFICIAL_SOURCE,REGULADOR_LOCAL,False,False,False,0,False,
Agrolmos S.,NO_VALIDATED_OFFICIAL_SOURCE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Agrolmos S.,NO_VALIDATED_OFFICIAL_SOURCE,RI_RSS,False,False,False,0,False,
Agrolmos S.,NO_VALIDATED_OFFICIAL_SOURCE,RI_NEWS,False,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Agrolmos S.,NO_VALIDATED_OFFICIAL_SOURCE,EDGAR,False,False,False,0,False,
Agrolmos S.,NO_VALIDATED_OFFICIAL_SOURCE,REGULADOR_LOCAL,False,False,False,0,False,
Empresa Agraria Chiquitoy S.A.,NO_VALIDATED_OFFICIAL_SOURCE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Empresa Agraria Chiquitoy S.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_RSS,False,False,False,0,False,
Empresa Agraria Chiquitoy S.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_NEWS,False,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Empresa Agraria Chiquitoy S.A.,NO_VALIDATED_OFFICIAL_SOURCE,EDGAR,False,False,False,0,False,
Empresa Agraria Chiquitoy S.A.,NO_VALIDATED_OFFICIAL_SOURCE,REGULADOR_LOCAL,False,False,False,0,False,
